name,address, shares, ratePerOneOKT,rewards25PerYear, rewards75PerYear, rewardsPerYear, commissionRate, depositOktNums, depositOktRewardPerYear, APR, top21
Chillcrypto,exvaloper1xkl5agjzqnjnptyat2dng2asmx8g5kllg7xamv, 41891986461017, 0.000000175254234049, 46928.5714, 141591.5126, 188520.0840, 0, 100, 3.30389429, 3.30389429%, True
Unique farming,exvaloper1fymxn4gazxzjdfvwvr0ccnrnjpwmj0r9vw3t2y, 41890641103112, 0.000000175259862506, 46928.5714, 141586.9654, 188515.5368, 0, 100, 3.30392071, 3.30392071%, True
Tombolo,exvaloper1m569cfenudxemegcf4mmykhugnslhdv0xhvcj6, 41889093990103, 0.000000175266335475, 46928.5714, 141581.7363, 188510.3077, 0, 100, 3.30395108, 3.30395108%, True
Defilego,exvaloper1tkwxgcpvptua0q0h5tn0at58ufnjdue7xp9jh4, 41887523186151, 0.000000175272908054, 46928.5714, 141576.4271, 188504.9985, 0, 100, 3.30398193, 3.30398193%, True
Nodeplus,exvaloper1ygcvtcqxl82xvzrq25dymam434k3nnc8kwvrkm, 41887268808012, 0.000000175273972472, 46928.5714, 141575.5674, 188504.1388, 0, 100, 3.30398692, 3.30398692%, True
DeLab,exvaloper1c34s7lc7ec8gs9xrtxeh0j2wjaam25c3g06xp3, 41885222817384, 0.000000175282534177, 46928.5714, 141568.6521, 188497.2235, 0, 100, 3.30402710, 3.30402710%, True
Hydrus,exvaloper1508d7eq592kg2lh9d46xvv3r4sm7gm8w0nrejk, 41883291605768, 0.000000175290616342, 46928.5714, 141562.1247, 188490.6961, 0, 100, 3.30406503, 3.30406503%, True
Blockpro,exvaloper1ja9xngm4zh0t442mse73ll30p7dczd49s88n2x, 41882848199949, 0.000000175292472111, 46928.5714, 141560.6261, 188489.1975, 0, 100, 3.30407374, 3.30407374%, True
ZK capitial,exvaloper1zza3jrylyecrtuh0p9ts2xauzsefuvwa4l9fsx, 41880355123940, 0.000000175302907014, 46928.5714, 141552.1997, 188480.7711, 0, 100, 3.30412271, 3.30412271%, True
Samual,exvaloper1ka92ujcwh6hyyeu4tymzy3dedgxplt4dtsr7xh, 41879033621668, 0.000000175308438736, 46928.5714, 141547.7331, 188476.3045, 0, 100, 3.30414867, 3.30414867%, True
Zapzap,exvaloper1qva0ejf0t943x6rt824gwmvtjgec9cjrut5wn8, 41877600089808, 0.000000175314439802, 46928.5714, 141542.8879, 188471.4593, 0, 100, 3.30417683, 3.30417683%, True
Squares,exvaloper19wln93k3faq7vkqzlc9gljr3ey5fljt93jfxsy, 41876278365670, 0.000000175319973181, 46928.5714, 141538.4206, 188466.9920, 0, 100, 3.30420280, 3.30420280%, True
Nozash,exvaloper195ez67wmhprwrru34gvttyd8ttpl7edx3px8ua, 41874985808566, 0.000000175325384791, 46928.5714, 141534.0518, 188462.6232, 0, 100, 3.30422819, 3.30422819%, True
Collector,exvaloper1q9nct2gska2yutx24starv6s63xz022fdwdgzv, 41873661220423, 0.000000175330930853, 46928.5714, 141529.5748, 188458.1462, 0, 100, 3.30425422, 3.30425422%, True
Unicorn,exvaloper1zxthrcdcecfe5ss4tal0tq30hzel2lks6psuhm, 41872331500921, 0.000000175336498753, 46928.5714, 141525.0805, 188453.6519, 0, 100, 3.30428035, 3.30428035%, True
ChainHub,exvaloper1s6nfs7mlj7ewsskkrmekqhpq2w234fcz5uq4m5, 41870213233449, 0.000000175345369250, 46928.5714, 141517.9209, 188446.4923, 0, 0, 0.00000000, 3.30432198%, True
Cryptomars,exvaloper18au05qx485u2qcw2gvqsrfh29evq77lm9u2jwr, 41868014165531, 0.000000175354579058, 46928.5714, 141510.4882, 188439.0596, 0, 0, 0.00000000, 3.30436520%, True
Cosmostation,exvaloper19e6edpu97d6w2t5dlp7lph2fkdja0lvlj8ngk0, 41866711407492, 0.000000175360035531, 46928.5714, 141506.0850, 188434.6564, 0, 0, 0.00000000, 3.30439080%, True
Nebulas NOVA,exvaloper188dhgmaq8cka2yczzjfzsw0nely6y8uap4u5kg, 4957471372519, 0.000001480946121181, 46928.5714, 16755.8507, 63684.4221, 0, 0, 0.00000000, 9.43131979%, True
ChainUP Labs,exvaloper1vlzgq74y6hm9crhkkhdjy77uvyqa0zdupstsqj, 4952999397278, 0.000001482283241148, 46928.5714, 16740.7358, 63669.3072, 0, 0, 0.00000000, 9.43759470%, True
X-DUCK,exvaloper1vsjcts3ga8dgf6nj2q7vmlrnu5en4cneaskg9w, 4769363391339, 0.000001539355967996, 46928.5714, 16120.0610, 63048.6324, 0, 0, 0.00000000, 9.70542886%, True
OKLive,exvaloper1v5pvu4rkzc5axd6f7ngxa39je6d0lyujky5tng, 4769363391339, 0.000001539355967996, 0, 16120.0610, 16120.0610, 0, 0, 0.00000000, 2.48145121%, False
jiqix,exvaloper1evazeyntpfr62avj65dwd6mcw9wvh24kc3x84s, 4765516267986, 0.000001540598664896, 0, 16107.0580, 16107.0580, 0, 0, 0.00000000, 2.48145121%, False
GongFu,exvaloper1w5zu7xxzfdx729elg2lu4rnltjsvzpdg3dhpaf, 4765243031271, 0.000001540687002073, 0, 16106.1345, 16106.1345, 0, 0, 0.00000000, 2.48145121%, False
ICoin,exvaloper1fwvre7w2na66fq3k2wjy30rzp07c4fl99v3hsw, 4765145569839, 0.000001540718513715, 0, 16105.8051, 16105.8051, 0, 0, 0.00000000, 2.48145121%, False
okusb,exvaloper14kpvn0zr75594rlrl66lw953mlkrq6qz5ctupj, 4765145569839, 0.000001540718513715, 0, 16105.8051, 16105.8051, 0, 0, 0.00000000, 2.48145121%, False
oxford,exvaloper1xaxvu9wxr8szym3aqdesvqq968y2tf53l8fyak, 4760705232108, 0.000001542155550922, 0, 16090.7971, 16090.7971, 0, 0, 0.00000000, 2.48145121%, False
voyager,exvaloper1hw0y28hgzadpmjwa68sfukdp69pc68cnxxgml0, 4760705232108, 0.000001542155550922, 0, 16090.7971, 16090.7971, 0, 0, 0.00000000, 2.48145121%, False
White whale-3,exvaloper1pc864zshkvsgc724k5jffcjsrmhz63m6gwrrhh, 4601635363784, 0.000001595464963995, 0, 15553.1539, 15553.1539, 0, 0, 0.00000000, 2.48145121%, False
White whale-2,exvaloper1klcqq056hndfch7yew6fkl6tyrdr07qxv60g90, 4601635363784, 0.000001595464963995, 0, 15553.1539, 15553.1539, 0, 0, 0.00000000, 2.48145121%, False
White whale-1,exvaloper1a9893mfvk9x80x209jhpvl0hm24djxqhr3jwuf, 4601635363784, 0.000001595464963995, 0, 15553.1539, 15553.1539, 0, 0, 0.00000000, 2.48145121%, False
White whale-6,exvaloper1rr253al2mtdgfcjwh7j3778g5gru3elyumxj8m, 4601635335491, 0.000001595464973805, 0, 15553.1538, 15553.1538, 0, 0, 0.00000000, 2.48145121%, False
White whale-5,exvaloper18w9mggs2s5t8ve0zr0ctjcyq7faft3qp8dlj75, 4601635335491, 0.000001595464973805, 0, 15553.1538, 15553.1538, 0, 0, 0.00000000, 2.48145121%, False
White whale-13,exvaloper1079vd72hpvlhnt7yjdya50egxkdr4dtureduuf, 4601635335491, 0.000001595464973805, 0, 15553.1538, 15553.1538, 0, 0, 0.00000000, 2.48145121%, False
White whale-12,exvaloper1k84d9rfaz6v92sazaclj24uyvx79wnl8kvckks, 4601635335491, 0.000001595464973805, 0, 15553.1538, 15553.1538, 0, 0, 0.00000000, 2.48145121%, False
White whale-4,exvaloper1h59keaqu7jap3cs6fqw0usggapl9q2x5v4w7rx, 4601635335491, 0.000001595464973805, 0, 15553.1538, 15553.1538, 0, 0, 0.00000000, 2.48145121%, False
OKvibe,exvaloper1mlmwvdprn8dj6g45vdxkjsjgu4ntu9j7dnjky2, 3058144235244, 0.000002400719990702, 0, 10336.2792, 10336.2792, 0, 0, 0.00000000, 2.48145121%, False
Validator1,exvaloper18v23ln9ycrtg0mrwsm004sh4tdknudtdapcfcq, 3031905295260, 0.000002421496479945, 0, 10247.5937, 10247.5937, 0, 0, 0.00000000, 2.48145121%, False
Validator2,exvaloper1ucmx6vvtrwam9pg20fnwmy9z80uhchyxqn67wq, 3028074584720, 0.000002424559829882, 0, 10234.6462, 10234.6462, 0, 0, 0.00000000, 2.48145120%, False
Validator3,exvaloper1g3a6vtau2k93n4tqgqnrggeu3qa4x20rgs4x4s, 3024375354048, 0.000002427525402948, 0, 10222.1431, 10222.1431, 0, 0, 0.00000000, 2.48145120%, False
Best bp,exvaloper1tat4lam8wjqmeax9mv4s584vu2mp7c0cgvlajl, 3003005597444, 0.000002444799971818, 0, 10149.9151, 10149.9151, 0, 0, 0.00000000, 2.48145122%, False
Taurus,exvaloper1rz7frqz9ky52qqjwlpawfe5hz6plcrmmpha0px, 3002647151587, 0.000002445091823766, 0, 10148.7036, 10148.7036, 0, 0, 0.00000000, 2.48145122%, False
Junglefly,exvaloper1w3ptfgekjgdvwkqmdepdeyvuxqmcplfszlz3jm, 3002333539484, 0.000002445347228563, 0, 10147.6436, 10147.6436, 0, 0, 0.00000000, 2.48145122%, False
Deeworld,exvaloper1v4kagglr3vq82vqywqd8quhsuarkm4kf2nz85r, 3002157791171, 0.000002445490380816, 0, 10147.0496, 10147.0496, 0, 0, 0.00000000, 2.48145122%, False
Pialote,exvaloper1rmrx7wp60almzvghx2820aamjfd4kgwlcx542p, 3002041671750, 0.000002445584972750, 0, 10146.6571, 10146.6571, 0, 0, 0.00000000, 2.48145121%, False
Linkeye,exvaloper14zgafe7cynlpuhpfpqpxu2gntzhq6ttedqru6j, 3001213592329, 0.000002446259745979, 0, 10143.8582, 10143.8582, 0, 0, 0.00000000, 2.48145120%, False
Wulix,exvaloper13mayrjzsrp976y0ae0qw8sjan3qg2xfdeq8vmh, 2943165471929, 0.000002494507383300, 0, 9947.6603, 9947.6603, 0, 0, 0.00000000, 2.48145121%, False
Sakuya,exvaloper104y8sy0r6fke4a9qr8u05j6v5y68gkh4v3ud9t, 2942944665695, 0.000002494694543727, 0, 9946.9140, 9946.9140, 0, 0, 0.00000000, 2.48145121%, False
DappBirds,exvaloper1rv8tjxp8d8ucuak8c7svewwugzfdjwf9arju5j, 1345014898, 0.005458488237503522, 0, 4.5460, 4.5460, 0, 0, 0.00000000, 2.48142875%, False
--------
depoistOKT,voteValidatorNum,totalARP
100, 15, 49.56131457%
