name,address, shares, ratePerOneOKT,rewards25PerYear, rewards75PerYear, rewardsPerYear, commissionRate, depositOktNums, depositOktRewardPerYear, APR, top21
Chillcrypto,exvaloper1xkl5agjzqnjnptyat2dng2asmx8g5kllg7xamv, 41891986461017, 0.000000175254234049, 46928.5714, 141591.7037, 188520.2751, 0, 100, 3.30389764, 3.30389764%, True
Unique farming,exvaloper1fymxn4gazxzjdfvwvr0ccnrnjpwmj0r9vw3t2y, 41890641103112, 0.000000175259862506, 46928.5714, 141587.1565, 188515.7279, 0, 100, 3.30392406, 3.30392406%, True
Tombolo,exvaloper1m569cfenudxemegcf4mmykhugnslhdv0xhvcj6, 41889093990103, 0.000000175266335475, 46928.5714, 141581.9274, 188510.4988, 0, 100, 3.30395443, 3.30395443%, True
Defilego,exvaloper1tkwxgcpvptua0q0h5tn0at58ufnjdue7xp9jh4, 41887523186151, 0.000000175272908054, 46928.5714, 141576.6182, 188505.1896, 0, 100, 3.30398528, 3.30398528%, True
Nodeplus,exvaloper1ygcvtcqxl82xvzrq25dymam434k3nnc8kwvrkm, 41887268808012, 0.000000175273972472, 46928.5714, 141575.7584, 188504.3298, 0, 100, 3.30399027, 3.30399027%, True
DeLab,exvaloper1c34s7lc7ec8gs9xrtxeh0j2wjaam25c3g06xp3, 41885222817384, 0.000000175282534177, 46928.5714, 141568.8431, 188497.4145, 0, 100, 3.30403045, 3.30403045%, True
Hydrus,exvaloper1508d7eq592kg2lh9d46xvv3r4sm7gm8w0nrejk, 41883291605768, 0.000000175290616342, 46928.5714, 141562.3158, 188490.8872, 0, 100, 3.30406838, 3.30406838%, True
Blockpro,exvaloper1ja9xngm4zh0t442mse73ll30p7dczd49s88n2x, 41882848199949, 0.000000175292472111, 46928.5714, 141560.8171, 188489.3885, 0, 100, 3.30407709, 3.30407709%, True
ZK capitial,exvaloper1zza3jrylyecrtuh0p9ts2xauzsefuvwa4l9fsx, 41880355123940, 0.000000175302907014, 46928.5714, 141552.3907, 188480.9621, 0, 100, 3.30412606, 3.30412606%, True
Samual,exvaloper1ka92ujcwh6hyyeu4tymzy3dedgxplt4dtsr7xh, 41879033621668, 0.000000175308438736, 46928.5714, 141547.9241, 188476.4955, 0, 100, 3.30415202, 3.30415202%, True
Zapzap,exvaloper1qva0ejf0t943x6rt824gwmvtjgec9cjrut5wn8, 41877600089808, 0.000000175314439802, 46928.5714, 141543.0789, 188471.6503, 0, 100, 3.30418018, 3.30418018%, True
Squares,exvaloper19wln93k3faq7vkqzlc9gljr3ey5fljt93jfxsy, 41876278365670, 0.000000175319973181, 46928.5714, 141538.6116, 188467.1830, 0, 100, 3.30420615, 3.30420615%, True
Nozash,exvaloper195ez67wmhprwrru34gvttyd8ttpl7edx3px8ua, 41874985808566, 0.000000175325384791, 46928.5714, 141534.2428, 188462.8142, 0, 100, 3.30423154, 3.30423154%, True
Collector,exvaloper1q9nct2gska2yutx24starv6s63xz022fdwdgzv, 41873661220423, 0.000000175330930853, 46928.5714, 141529.7658, 188458.3372, 0, 100, 3.30425757, 3.30425757%, True
Unicorn,exvaloper1zxthrcdcecfe5ss4tal0tq30hzel2lks6psuhm, 41872331500921, 0.000000175336498753, 46928.5714, 141525.2715, 188453.8429, 0, 100, 3.30428370, 3.30428370%, True
ChainHub,exvaloper1s6nfs7mlj7ewsskkrmekqhpq2w234fcz5uq4m5, 41870947408249, 0.000000175342294704, 46928.5714, 141520.5934, 188449.1648, 0, 100, 3.30431090, 3.30431090%, True
Cryptomars,exvaloper18au05qx485u2qcw2gvqsrfh29evq77lm9u2jwr, 41868748340331, 0.000000175351504189, 46928.5714, 141513.1607, 188441.7321, 0, 100, 3.30435412, 3.30435412%, True
Cosmostation,exvaloper19e6edpu97d6w2t5dlp7lph2fkdja0lvlj8ngk0, 41867445582292, 0.000000175356960471, 46928.5714, 141508.7574, 188437.3288, 0, 100, 3.30437972, 3.30437972%, True
Nebulas NOVA,exvaloper188dhgmaq8cka2yczzjfzsw0nely6y8uap4u5kg, 4957936024263, 0.000001480807328709, 46928.5714, 16757.4438, 63686.0152, 0, 100, 9.43067180, 9.43067180%, True
ChainUP Labs,exvaloper1vlzgq74y6hm9crhkkhdjy77uvyqa0zdupstsqj, 4953464049022, 0.000001482144197948, 46928.5714, 16742.3289, 63670.9003, 0, 100, 9.43694555, 9.43694555%, True
X-DUCK,exvaloper1vsjcts3ga8dgf6nj2q7vmlrnu5en4cneaskg9w, 4769093868284, 0.000001539442963961, 46928.5714, 16119.1718, 63047.7432, 0, 0, 0.00000000, 9.70584047%, True
OKLive,exvaloper1v5pvu4rkzc5axd6f7ngxa39je6d0lyujky5tng, 4769093868284, 0.000001539442963961, 0, 16119.1718, 16119.1718, 0, 0, 0.00000000, 2.48145456%, False
jiqix,exvaloper1evazeyntpfr62avj65dwd6mcw9wvh24kc3x84s, 4765246744930, 0.000001540685801383, 0, 16106.1688, 16106.1688, 0, 0, 0.00000000, 2.48145456%, False
GongFu,exvaloper1w5zu7xxzfdx729elg2lu4rnltjsvzpdg3dhpaf, 4764973508216, 0.000001540774148553, 0, 16105.2453, 16105.2453, 0, 0, 0.00000000, 2.48145456%, False
ICoin,exvaloper1fwvre7w2na66fq3k2wjy30rzp07c4fl99v3hsw, 4764876046783, 0.000001540805663761, 0, 16104.9159, 16104.9159, 0, 0, 0.00000000, 2.48145456%, False
okusb,exvaloper14kpvn0zr75594rlrl66lw953mlkrq6qz5ctupj, 4764876046783, 0.000001540805663761, 0, 16104.9159, 16104.9159, 0, 0, 0.00000000, 2.48145456%, False
oxford,exvaloper1xaxvu9wxr8szym3aqdesvqq968y2tf53l8fyak, 4760435709053, 0.000001542242863618, 0, 16089.9079, 16089.9079, 0, 0, 0.00000000, 2.48145456%, False
voyager,exvaloper1hw0y28hgzadpmjwa68sfukdp69pc68cnxxgml0, 4760435709053, 0.000001542242863618, 0, 16089.9079, 16089.9079, 0, 0, 0.00000000, 2.48145456%, False
White whale-3,exvaloper1pc864zshkvsgc724k5jffcjsrmhz63m6gwrrhh, 4601365840729, 0.000001595558417680, 0, 15552.2639, 15552.2639, 0, 0, 0.00000000, 2.48145456%, False
White whale-2,exvaloper1klcqq056hndfch7yew6fkl6tyrdr07qxv60g90, 4601365840729, 0.000001595558417680, 0, 15552.2639, 15552.2639, 0, 0, 0.00000000, 2.48145456%, False
White whale-1,exvaloper1a9893mfvk9x80x209jhpvl0hm24djxqhr3jwuf, 4601365840729, 0.000001595558417680, 0, 15552.2639, 15552.2639, 0, 0, 0.00000000, 2.48145456%, False
White whale-6,exvaloper1rr253al2mtdgfcjwh7j3778g5gru3elyumxj8m, 4601365812435, 0.000001595558427491, 0, 15552.2638, 15552.2638, 0, 0, 0.00000000, 2.48145456%, False
White whale-5,exvaloper18w9mggs2s5t8ve0zr0ctjcyq7faft3qp8dlj75, 4601365812435, 0.000001595558427491, 0, 15552.2638, 15552.2638, 0, 0, 0.00000000, 2.48145456%, False
White whale-13,exvaloper1079vd72hpvlhnt7yjdya50egxkdr4dtureduuf, 4601365812435, 0.000001595558427491, 0, 15552.2638, 15552.2638, 0, 0, 0.00000000, 2.48145456%, False
White whale-12,exvaloper1k84d9rfaz6v92sazaclj24uyvx79wnl8kvckks, 4601365812435, 0.000001595558427491, 0, 15552.2638, 15552.2638, 0, 0, 0.00000000, 2.48145456%, False
White whale-4,exvaloper1h59keaqu7jap3cs6fqw0usggapl9q2x5v4w7rx, 4601365812435, 0.000001595558427491, 0, 15552.2638, 15552.2638, 0, 0, 0.00000000, 2.48145456%, False
OKvibe,exvaloper1mlmwvdprn8dj6g45vdxkjsjgu4ntu9j7dnjky2, 3058144235244, 0.000002400719990702, 0, 10336.2931, 10336.2931, 0, 0, 0.00000000, 2.48145455%, False
Validator1,exvaloper18v23ln9ycrtg0mrwsm004sh4tdknudtdapcfcq, 3031905295260, 0.000002421496479945, 0, 10247.6075, 10247.6075, 0, 0, 0.00000000, 2.48145455%, False
Validator2,exvaloper1ucmx6vvtrwam9pg20fnwmy9z80uhchyxqn67wq, 3028074584720, 0.000002424559829882, 0, 10234.6600, 10234.6600, 0, 0, 0.00000000, 2.48145455%, False
