name,address, shares, ratePerOneOKT,rewards25PerYear, rewards75PerYear, rewardsPerYear, commissionRate, depositOktNums, depositOktRewardPerYear, APR, top21
Chillcrypto,exvaloper1xkl5agjzqnjnptyat2dng2asmx8g5kllg7xamv, 49233000286217, 0.000000149122498270, 46928.5714, 142487.5771, 189416.1485, 0, 1000000, 28246.20927700, 2.82462093%, True
Unique farming,exvaloper1fymxn4gazxzjdfvwvr0ccnrnjpwmj0r9vw3t2y, 49231654928312, 0.000000149126573354, 46928.5714, 142483.6834, 189412.2548, 0, 1000000, 28246.40050958, 2.82464005%, True
Tombolo,exvaloper1m569cfenudxemegcf4mmykhugnslhdv0xhvcj6, 49230107815303, 0.000000149131259829, 46928.5714, 142479.2059, 189407.7773, 0, 1000000, 28246.62045016, 2.82466205%, True
Defilego,exvaloper1tkwxgcpvptua0q0h5tn0at58ufnjdue7xp9jh4, 49228537011351, 0.000000149136018369, 46928.5714, 142474.6597, 189403.2311, 0, 1000000, 28246.84375248, 2.82468438%, True
Nodeplus,exvaloper1ygcvtcqxl82xvzrq25dymam434k3nnc8kwvrkm, 49228282633212, 0.000000149136789002, 46928.5714, 142473.9235, 189402.4949, 0, 1000000, 28246.87991835, 2.82468799%, True
DeLab,exvaloper1c34s7lc7ec8gs9xrtxeh0j2wjaam25c3g06xp3, 49226236642584, 0.000000149142987576, 46928.5714, 142468.0021, 189396.5735, 0, 1000000, 28247.17080845, 2.82471708%, True
Hydrus,exvaloper1508d7eq592kg2lh9d46xvv3r4sm7gm8w0nrejk, 49224305430968, 0.000000149148838886, 46928.5714, 142462.4129, 189390.9843, 0, 1000000, 28247.44540382, 2.82474454%, True
Blockpro,exvaloper1ja9xngm4zh0t442mse73ll30p7dczd49s88n2x, 49223862025149, 0.000000149150182410, 46928.5714, 142461.1296, 189389.7010, 0, 1000000, 28247.50845073, 2.82475085%, True
ZK capitial,exvaloper1zza3jrylyecrtuh0p9ts2xauzsefuvwa4l9fsx, 49221368949140, 0.000000149157736909, 46928.5714, 142453.9143, 189382.4857, 0, 1000000, 28247.86297721, 2.82478630%, True
Samual,exvaloper1ka92ujcwh6hyyeu4tymzy3dedgxplt4dtsr7xh, 49220047446868, 0.000000149161741624, 46928.5714, 142450.0897, 189378.6611, 0, 1000000, 28248.05091610, 2.82480509%, True
Zapzap,exvaloper1qva0ejf0t943x6rt824gwmvtjgec9cjrut5wn8, 49218613915008, 0.000000149166086080, 46928.5714, 142445.9408, 189374.5122, 0, 1000000, 28248.25478818, 2.82482548%, True
