name,address, shares, ratePerOneOKT,rewards25PerYear, rewards75PerYear, rewardsPerYear, commissionRate, depositOktNums, depositOktRewardPerYear, APR, top21
Chillcrypto,exvaloper1xkl5agjzqnjnptyat2dng2asmx8g5kllg7xamv, 41964669766217, 0.000000174950691639, 46928.5714, 141602.0454, 188530.6168, 0, 10000, 329.83561804, 3.29835618%, True
Unique farming,exvaloper1fymxn4gazxzjdfvwvr0ccnrnjpwmj0r9vw3t2y, 41963324408312, 0.000000174956300615, 46928.5714, 141597.5057, 188526.0771, 0, 10000, 329.83825019, 3.29838250%, True
Tombolo,exvaloper1m569cfenudxemegcf4mmykhugnslhdv0xhvcj6, 41961777295303, 0.000000174962751180, 46928.5714, 141592.2853, 188520.8567, 0, 10000, 329.84127743, 3.29841277%, True
Defilego,exvaloper1tkwxgcpvptua0q0h5tn0at58ufnjdue7xp9jh4, 41960206491351, 0.000000174969301009, 46928.5714, 141586.9849, 188515.5563, 0, 10000, 329.84435115, 3.29844351%, True
Nodeplus,exvaloper1ygcvtcqxl82xvzrq25dymam434k3nnc8kwvrkm, 41959952113212, 0.000000174970361744, 46928.5714, 141586.1265, 188514.6979, 0, 10000, 329.84484886, 3.29844849%, True
DeLab,exvaloper1c34s7lc7ec8gs9xrtxeh0j2wjaam25c3g06xp3, 41957906122584, 0.000000174978893812, 46928.5714, 141579.2227, 188507.7941, 0, 10000, 329.84885287, 3.29848853%, True
Hydrus,exvaloper1508d7eq592kg2lh9d46xvv3r4sm7gm8w0nrejk, 41955974910968, 0.000000174986947999, 46928.5714, 141572.7062, 188501.2776, 0, 10000, 329.85263261, 3.29852633%, True
Blockpro,exvaloper1ja9xngm4zh0t442mse73ll30p7dczd49s88n2x, 41955531505149, 0.000000174988797344, 46928.5714, 141571.2100, 188499.7814, 0, 10000, 329.85350047, 3.29853500%, True
ZK capitial,exvaloper1zza3jrylyecrtuh0p9ts2xauzsefuvwa4l9fsx, 41953038429140, 0.000000174999196123, 46928.5714, 141562.7976, 188491.3690, 0, 10000, 329.85838051, 3.29858381%, True
Samual,exvaloper1ka92ujcwh6hyyeu4tymzy3dedgxplt4dtsr7xh, 41951716926868, 0.000000175004708694, 46928.5714, 141558.3384, 188486.9098, 0, 10000, 329.86096742, 3.29860967%, True
Zapzap,exvaloper1qva0ejf0t943x6rt824gwmvtjgec9cjrut5wn8, 41950283395008, 0.000000175010688983, 46928.5714, 141553.5012, 188482.0726, 0, 10000, 329.86377387, 3.29863774%, True
Squares,exvaloper19wln93k3faq7vkqzlc9gljr3ey5fljt93jfxsy, 41948961670870, 0.000000175016203204, 46928.5714, 141549.0413, 188477.6127, 0, 10000, 329.86636164, 3.29866362%, True
Nozash,exvaloper195ez67wmhprwrru34gvttyd8ttpl7edx3px8ua, 41947669113766, 0.000000175021596077, 46928.5714, 141544.6798, 188473.2512, 0, 10000, 329.86889243, 3.29868892%, True
Collector,exvaloper1q9nct2gska2yutx24starv6s63xz022fdwdgzv, 41946344525623, 0.000000175027122936, 46928.5714, 141540.2103, 188468.7817, 0, 10000, 329.87148624, 3.29871486%, True
Unicorn,exvaloper1zxthrcdcecfe5ss4tal0tq30hzel2lks6psuhm, 41945014806121, 0.000000175032671557, 46928.5714, 141535.7234, 188464.2948, 0, 10000, 329.87409012, 3.29874090%, True
ChainHub,exvaloper1s6nfs7mlj7ewsskkrmekqhpq2w234fcz5uq4m5, 41943630713449, 0.000000175038447438, 46928.5714, 141531.0530, 188459.6244, 0, 10000, 329.87680060, 3.29876801%, True
Cryptomars,exvaloper18au05qx485u2qcw2gvqsrfh29evq77lm9u2jwr, 41941431645531, 0.000000175047625032, 46928.5714, 141523.6326, 188452.2040, 0, 10000, 329.88110742, 3.29881107%, True
Cosmostation,exvaloper19e6edpu97d6w2t5dlp7lph2fkdja0lvlj8ngk0, 41940128887492, 0.000000175053062419, 46928.5714, 141519.2367, 188447.8081, 0, 10000, 329.88365914, 3.29883659%, True
Nebulas NOVA,exvaloper188dhgmaq8cka2yczzjfzsw0nely6y8uap4u5kg, 5030619329463, 0.000001459412354459, 46928.5714, 16974.8979, 63903.4693, 0, 10000, 932.61512589, 9.32615126%, True
ChainUP Labs,exvaloper1vlzgq74y6hm9crhkkhdjy77uvyqa0zdupstsqj, 5026147354222, 0.000001460710855171, 46928.5714, 16959.8081, 63888.3795, 0, 10000, 933.22449455, 9.33224495%, True
X-DUCK,exvaloper1vsjcts3ga8dgf6nj2q7vmlrnu5en4cneaskg9w, 4769093868284, 0.000001539442963961, 46928.5714, 16092.4285, 63020.9999, 0, 0, 0.00000000, 9.70172349%, True
OKLive,exvaloper1v5pvu4rkzc5axd6f7ngxa39je6d0lyujky5tng, 4769093868284, 0.000001539442963961, 0, 16092.4285, 16092.4285, 0, 0, 0.00000000, 2.47733758%, False
jiqix,exvaloper1evazeyntpfr62avj65dwd6mcw9wvh24kc3x84s, 4765246744930, 0.000001540685801383, 0, 16079.4471, 16079.4471, 0, 0, 0.00000000, 2.47733758%, False
GongFu,exvaloper1w5zu7xxzfdx729elg2lu4rnltjsvzpdg3dhpaf, 4764973508216, 0.000001540774148553, 0, 16078.5251, 16078.5251, 0, 0, 0.00000000, 2.47733758%, False
ICoin,exvaloper1fwvre7w2na66fq3k2wjy30rzp07c4fl99v3hsw, 4764876046783, 0.000001540805663761, 0, 16078.1962, 16078.1962, 0, 0, 0.00000000, 2.47733758%, False
okusb,exvaloper14kpvn0zr75594rlrl66lw953mlkrq6qz5ctupj, 4764876046783, 0.000001540805663761, 0, 16078.1962, 16078.1962, 0, 0, 0.00000000, 2.47733758%, False
oxford,exvaloper1xaxvu9wxr8szym3aqdesvqq968y2tf53l8fyak, 4760435709053, 0.000001542242863618, 0, 16063.2131, 16063.2131, 0, 0, 0.00000000, 2.47733758%, False
voyager,exvaloper1hw0y28hgzadpmjwa68sfukdp69pc68cnxxgml0, 4760435709053, 0.000001542242863618, 0, 16063.2131, 16063.2131, 0, 0, 0.00000000, 2.47733758%, False
White whale-3,exvaloper1pc864zshkvsgc724k5jffcjsrmhz63m6gwrrhh, 4601365840729, 0.000001595558417680, 0, 15526.4611, 15526.4611, 0, 0, 0.00000000, 2.47733757%, False
